token,count
the,5815
and,3085
to,2826
of,2781
in,1826
that,1767
it,1749
you,1577
he,1486
was,1412
his,1159
is,1147
my,1007
have,931
with,877
as,863
had,831
at,782
which,778
for,752
not,664
but,655
be,644
me,635
we,539
this,533
there,517
from,512
said,486
upon,467
holmes,466
so,450
him,434
her,430
she,426
all,409
your,405
no,400
very,400
been,393
what,391
on,391
one,378
by,376
then,367
are,358
were,349
an,338
would,327
out,323
when,323
man,305
up,304
do,303
could,287
has,286
if,282
mr,275
into,275
or,275
who,274
will,271
little,269
some,245
now,234
see,232
down,230
may,213
our,211
should,211
well,201
they,201
can,189
am,185
us,184
over,183
about,176
more,175
think,174
know,171
room,171
must,171
shall,171
before,168
any,165
other,164
only,163
come,162
than,161
did,153
time,151
two,148
them,147
came,146
how,145
door,144
here,140
back,139
good,137
face,128
might,126
where,126
just,126
yes,125
matter,125
much,121
house,120
hand,120
such,118
night,118
way,118
case,117
heard,113
found,110
away,109
made,109
however,108
nothing,108
never,108
quite,107
day,107
right,102
morning,101
own,101
sherlock,101
after,99
go,99
tell,99
gutenberg,98
their,97
like,97
most,95
last,95
say,94
through,93
work,92
left,92
oh,90
project,89
saw,89
its,89
long,88
miss,88
yet,88
asked,88
took,87
eyes,87
side,87
first,86
once,86
these,83
father,83
street,83
too,82
round,81
every,81
st,81
young,81
watson,81
small,81
without,81
lady,80
still,80
find,80
friend,79
take,79
sir,78
myself,77
few,77
thought,77
why,76
make,76
off,75
light,75
until,75
business,74
old,74
look,73
hands,73
himself,73
window,72
seen,72
even,72
woman,71
three,71
let,70
ever,70
again,69
seemed,69
put,69
head,68
went,68
cried,68
having,68
while,67
those,67
done,67
years,66
something,65
doubt,64
open,64
rather,64
remarked,64
give,64
perhaps,63
name,63
though,63
get,62
indeed,62
chair,62
half,61
great,60
between,60
course,60
wife,60
end,58
mind,58
enough,58
always,58
same,57
knew,57
tm,57
answered,56
dear,56
far,55
place,55
cannot,55
also,54
looking,54
sat,54
against,53
got,53
anything,53
really,52
set,52
within,52
police,52
red,51
son,51
looked,51
table,51
black,51
turned,51
better,51
hardly,50
brought,50
hat,50
behind,50
front,50
possible,50
told,50
help,50
understand,49
under,49
life,49
leave,48
already,48
both,48
home,48
use,47
money,47
suddenly,47
thing,47
minutes,46
words,46
strange,46
gave,46
papers,45
gone,45
certainly,45
being,45
gentleman,45
days,45
fire,45
whole,45
paper,45
wish,45
point,45
hair,45
mrs,44
many,44
clear,44
whether,43
call,43
sure,43
pray,42
yourself,42
another,42
baker,42
lay,42
met,41
does,41
word,41
passed,41
lord,41
london,41
large,41
dark,40
whom,40
simon,40
men,40
five,40
doctor,39
bed,39
since,39
country,39
read,39
soon,39
rucastle,38
during,38
lestrade,38
four,38
less,38
clock,38
interest,38
across,37
evening,37
mccarthy,37
save,37
returned,36
opened,36
part,36
note,36
moment,36
least,36
strong,35
question,35
facts,35
hour,35
stood,35
among,35
believe,35
story,35
together,35
ask,35
none,34
used,34
waiting,34
either,34
companion,34
ll,34
sister,34
fellow,34
hear,33
each,33
felt,33
rushed,33
singular,33
entered,33
sitting,33
new,33
given,33
going,32
seven,32
hope,32
works,32
ah,32
crime,32
corner,32
else,32
road,32
laid,32
became,31
stone,31
able,31
forward,31
instant,31
death,31
client,31
several,31
near,31
best,31
sound,31
don,30
letter,30
family,30
ten,30
ran,30
cut,30
heavy,30
turn,30
colonel,29
white,29
imagine,29
anyone,29
known,29
year,29
floor,29
keep,29
dr,29
six,29
rooms,29
threw,29
true,29
god,29
inspector,29
hard,29
past,29
things,29
coat,29
obvious,29
full,29
ago,28
people,28
husband,28
coronet,28
taken,28
late,28
station,28
lost,28
seems,28
want,28
fear,28
lamp,28
coming,28
walked,28
manner,28
cry,28
feet,28
visitor,27
spoke,27
absolutely,27
girl,27
letters,27
present,27
air,27
appeared,27
electronic,27
week,27
marriage,27
office,27
remember,27
alone,27
above,27
second,27
clair,27
dress,27
holder,27
goose,27
address,26
blue,26
thank,26
king,26
person,26
drove,26
reason,26
cab,26
john,26
states,26
outside,26
mine,26
easy,26
deep,26
dressed,26
held,26
rose,26
called,26
quick,25
square,25
photograph,25
steps,25
followed,25
bell,25
led,25
foundation,25
terms,25
chance,25
began,25
heart,25
